generation,bestFitness,avgFitness
1,59.776871316203696,70.57920036409058
2,58.33627432822196,67.51049658389016
3,58.33627432822196,65.47734704900893
4,58.117737805337995,62.79129718215671
5,53.464562072879815,62.228436507882414
6,53.464562072879815,61.25227535006394
7,51.805428562014114,59.91613436880814
8,51.805428562014114,57.41500298735762
9,51.805428562014114,55.976948594891546
10,51.805428562014114,54.62214868488975
11,51.805428562014114,54.10698453096674
12,51.805428562014114,55.352909754226815
13,51.805428562014114,55.56222188958166
14,51.805428562014114,55.581702360385805
15,51.805428562014114,54.785068013567816
16,51.805428562014114,55.8697383844013
17,51.805428562014114,55.776974957689355
18,51.805428562014114,55.58957665357087
19,51.805428562014114,55.58416477865173
20,51.805428562014114,54.99494076981492
21,51.805428562014114,56.4984276891331
22,51.805428562014114,54.62047908046378
23,51.805428562014114,56.13785779403975
24,51.805428562014114,55.74607229380536
25,51.805428562014114,55.02563988336419
26,51.805428562014114,54.7064536962288
27,51.805428562014114,55.334370506026104
28,51.805428562014114,55.31277908524569
29,51.805428562014114,54.788988411993785
30,51.805428562014114,54.88484317350032
31,51.805428562014114,55.802448335137115
32,51.805428562014114,55.24601874814268
33,51.805428562014114,55.10950381621406
34,51.805428562014114,54.724945499360686
35,51.805428562014114,55.483479827476145
36,51.805428562014114,55.34702043381737
37,51.805428562014114,54.98412400068192
38,51.805428562014114,55.39289818379698
39,51.805428562014114,55.21450722832798
40,51.805428562014114,53.871335317941515
41,51.805428562014114,55.13532161791726
42,51.805428562014114,54.67916738739501
43,51.805428562014114,53.73876416105077
44,51.805428562014114,54.518517365233336
45,51.805428562014114,56.103322948842454
46,51.805428562014114,55.41592625297205
47,51.805428562014114,55.99172895832689
48,51.805428562014114,54.69668770364861
49,51.805428562014114,55.074714177492424
50,51.805428562014114,55.349203981753135
51,51.805428562014114,54.77333787302334
52,51.805428562014114,55.945331356015956
53,51.805428562014114,54.426307714635385
54,51.805428562014114,55.57795447163101
55,51.805428562014114,53.74510021456757
56,51.805428562014114,54.51673266430942
57,51.805428562014114,54.54889926708406
58,51.805428562014114,54.45550871676522
59,51.805428562014114,54.22555219996066
60,51.805428562014114,54.3020775398589
61,51.805428562014114,53.71133580578378
62,51.805428562014114,53.079540189825494
63,51.805428562014114,56.23302046622572
64,51.805428562014114,53.97460921822277
65,51.805428562014114,54.06127896683749
66,51.805428562014114,55.54316981967368
67,51.805428562014114,54.917467529061014
68,51.805428562014114,54.30707816557336
69,51.805428562014114,55.80960445253133
70,51.805428562014114,55.61043857741083
71,51.805428562014114,54.5509318224201
72,51.805428562014114,55.38315254175777
73,51.805428562014114,54.30348513549788
74,51.805428562014114,55.46813573024025
75,51.805428562014114,54.75767613182285
76,51.805428562014114,54.10873464297449
77,51.805428562014114,54.8615003984559
78,51.805428562014114,54.60919145279228
79,51.805428562014114,55.05300612965308
80,51.805428562014114,54.78771919089754
81,51.805428562014114,56.029383967726424
82,51.805428562014114,56.15319149440659
83,51.805428562014114,55.389201148382526
84,51.805428562014114,54.46016974921443
85,51.805428562014114,55.84151668548481
86,51.805428562014114,55.61720515428006
87,51.805428562014114,55.466191901894334
88,51.805428562014114,54.581455842036355
89,51.805428562014114,54.38713394489134
90,51.805428562014114,54.81065720715558
91,51.805428562014114,54.957414886628136
92,51.805428562014114,55.441030313367754
93,51.805428562014114,55.30829934904364
94,51.805428562014114,55.27378170304295
95,51.805428562014114,55.83048933212363
96,51.805428562014114,55.42326418597807
97,51.805428562014114,54.40693629232566
98,51.805428562014114,55.46805594663296
99,51.805428562014114,55.105893154968356
100,51.805428562014114,55.75115719629779
101,51.805428562014114,55.79914889933019
102,51.805428562014114,53.32036120285713
103,51.805428562014114,55.53148717034142
104,51.805428562014114,54.825249415510335
105,51.805428562014114,55.4391697480495
106,51.805428562014114,54.74880796698068
107,51.805428562014114,54.86901550628595
108,51.805428562014114,54.61754231497383
109,51.805428562014114,54.663944559474984
110,51.805428562014114,55.39058391511315
111,51.805428562014114,55.01003356184582
112,51.805428562014114,55.0805215177938
113,51.805428562014114,54.040647641896015
114,51.805428562014114,55.493587547826216
115,51.805428562014114,54.47868887758934
116,51.805428562014114,54.54808358769518
117,51.805428562014114,54.41369893759111
118,51.805428562014114,55.15017106368893
119,51.805428562014114,55.81283722109548
120,51.805428562014114,53.77585038917184
121,51.805428562014114,55.76701617921578
122,51.805428562014114,56.59580445052748
123,51.805428562014114,55.60025333691992
124,51.805428562014114,54.92640537653898
125,51.805428562014114,55.04604188191915
126,51.805428562014114,56.01241444199234
127,51.805428562014114,55.240282987415355
128,51.805428562014114,54.72728580990744
129,51.805428562014114,55.2718349727409
130,51.805428562014114,54.39076780557599
131,51.805428562014114,55.40559460916302
132,51.805428562014114,56.01681012659023
133,51.805428562014114,54.226912031675674
134,51.805428562014114,55.227790661307665
135,51.805428562014114,55.73065587351803
136,51.805428562014114,56.44098737640423
137,51.805428562014114,54.364335228096834
138,51.805428562014114,54.597389864186795
139,51.805428562014114,57.103161822360136
140,51.805428562014114,54.05886575087152
141,51.805428562014114,55.326803997190716
142,51.805428562014114,54.492735378494345
143,51.805428562014114,53.881857714236986
144,51.805428562014114,54.58173570138424
145,51.805428562014114,54.82043238260273
146,51.805428562014114,55.91129841732052
147,51.805428562014114,53.503517221235725
148,51.805428562014114,53.91347480375499
149,51.805428562014114,52.95846551066968
150,51.805428562014114,53.758437904012084
151,51.805428562014114,54.42632426087279
152,51.805428562014114,54.29078065280948
153,51.805428562014114,54.974475776986125
154,51.805428562014114,54.91964277663822
155,51.805428562014114,55.18547941231705
156,51.805428562014114,56.533295756684
157,51.805428562014114,56.40823268111063
158,51.805428562014114,55.707700036540146
159,51.805428562014114,54.235315810521435
160,51.805428562014114,55.0812778980903
161,51.805428562014114,55.41240381949585
162,51.805428562014114,55.145682610548505
163,51.805428562014114,54.67271053521398
164,51.805428562014114,55.42855373407294
165,51.805428562014114,55.23351693215872
166,51.805428562014114,55.82155204931869
167,51.805428562014114,54.49080179471037
168,51.805428562014114,54.82423900713635
169,51.805428562014114,55.24794812900467
170,51.805428562014114,55.20697764733632
171,51.805428562014114,55.19996154613867
172,51.805428562014114,54.86137843126423
173,51.805428562014114,56.16043386242368
174,51.805428562014114,56.31427445468418
175,51.805428562014114,54.44883045369871
176,51.805428562014114,55.474299928091284
177,51.805428562014114,54.84657654380542
178,51.53908625157594,54.71041251078078
179,51.53908625157594,54.33269410140706
180,51.53908625157594,54.33983229319174
181,51.53908625157594,54.28842593428662
182,51.53908625157594,55.1148504438379
183,51.53908625157594,54.389392731994676
184,51.53908625157594,55.804979138914184
185,51.53908625157594,54.43224725553526
186,51.53908625157594,54.459238817517516
187,51.53908625157594,55.212681798715636
188,51.53908625157594,56.03707115396667
189,51.53908625157594,54.647989938059624
190,51.53908625157594,56.06267177553505
191,51.53908625157594,55.22016259282378
192,51.53908625157594,54.46271640867728
193,51.53908625157594,55.44860312677855
194,51.53908625157594,55.34092016692882
195,51.53908625157594,54.94861306890439
196,51.53908625157594,55.51780727900937
197,51.53908625157594,55.26606324530655
198,51.53908625157594,55.438164612731036
199,51.53908625157594,55.24546776027898
200,51.53908625157594,54.66956775671754
